Order,Engineering Required,LDs,Engineering Required state,LDs state
21777-1/1,Y,N,Y,N
21907-4/8,N,,N,blank
21793-2/5,N,Y,N,Y
21937-1/1,N,,N,blank
21793-3/5,N,Y,N,Y
22112-1/3,,,blank,blank
21907-5/8,N,,N,blank
21907-6/8,N,,N,blank
21970-2/2,N,,N,blank
22112-2/3,N,,N,blank
21971-6/8,N,,N,blank
22112-3/3,N,,N,blank
21803-6/8,N,Y,N,Y
21907-7/8,N,,N,blank
21835-1/1,Y,N,Y,N
21907-8/8,N,,N,blank
21971-7/8,N,,N,blank
