"list","listId","itemCount","versioningEnabled","majorVersionLimit","minorVersionsEnabled","majorWithMinorLimit","forceCheckout","contentApproval","created","lastItemModified","lastItemUserModified","lastItemDeleted","versioningOk","note"
"Order Items","d6468ec5-c7b5-44a3-8ce0-f81f059b671d","1127","True","50","False","0","False","False","2026-08-13T02:35:56Z","2026-09-25T03:02:39Z","2026-09-25T03:02:39Z","2026-09-24T14:41:45Z","True","versioning on, 50 major versions kept"
"Order","6fe35dfe-2b7d-455a-abe3-056abb386733","470","True","50","False","0","False","False","2026-04-24T13:30:47Z","2026-09-24T04:10:18Z","2026-09-23T14:38:21Z","2026-09-08T21:39:46Z","True","versioning on, 50 major versions kept"
"Models","b43a5140-0f9d-4ac1-9019-43b897074224","394","True","50","False","0","False","False","2025-09-03T17:01:47Z","2026-09-24T05:35:27Z","2026-09-23T14:31:46Z","2026-09-01T10:13:03Z","True","versioning on, 50 major versions kept"
"Model Revisions","e2ff8703-b590-4648-b181-9b47cf3883ba","395","True","50","False","0","False","False","2026-07-31T18:33:14Z","2026-09-25T00:48:41Z","2026-09-25T00:48:41Z","2026-09-01T10:13:32Z","True","versioning on, 50 major versions kept"
"Clients","3bcf7d97-0862-404d-ab3f-eeaa358c05d8","99","True","50","False","0","False","False","2025-09-03T16:48:54Z","2026-09-24T05:35:27Z","2026-09-10T22:19:51Z","2026-05-12T15:42:14Z","True","versioning on, 50 major versions kept"
"Index","cb89d49f-ca29-4725-bb25-73c1096952f2","24","True","50","False","0","False","False","2024-03-25T19:44:05Z","2026-09-24T05:36:10Z","2026-09-11T16:41:24Z","2026-06-01T19:13:33Z","True","versioning on, 50 major versions kept"
"Models SA","b910b757-844f-4e0c-bfd5-05ef8fc6ea12","15","True","50","False","0","False","False","2026-05-04T07:22:13Z","2026-09-24T05:35:29Z","2026-08-13T18:07:38Z","2026-06-23T11:52:29Z","True","versioning on, 50 major versions kept"
